"Name","Status"
"SensrSvc","Stopped"
"SessionEnv","Stopped"
"SharedAccess","Running"
"ShellHWDetection","Running"
"shpamsvc","Stopped"
"smphost","Stopped"
"SmsRouter","Stopped"
"SNMPTrap","Stopped"
"Spooler","Running"
"sppsvc","Stopped"
"SSDPSRV","Running"
"ssh-agent","Stopped"
"SstpSvc","Running"
"StateRepository","Running"
"Steam Client Service","Running"
"StiSvc","Running"
"StorSvc","Running"
"svsvc","Stopped"
"swprv","Running"
"SysMain","Running"
"SystemEventsBroker","Running"
"TapiSrv","Stopped"
"TermService","Stopped"
"TextInputManagementService","Running"
"Themes","Running"
"TieringEngineService","Stopped"
"TimeBrokerSvc","Running"
"TokenBroker","Running"
"TrkWks","Running"
"TroubleshootingSvc","Stopped"
"TrustedInstaller","Stopped"
"tzautoupdate","Stopped"
"UdkUserSvc_124ad5f4","Running"
"UevAgentService","Stopped"
"UmRdpService","Stopped"
"UnistoreSvc_124ad5f4","Running"
"upnphost","Stopped"
"UserDataSvc_124ad5f4","Running"
"UserManager","Running"
"UsoSvc","Running"
"VaultSvc","Running"
"vds","Stopped"
"vmcompute","Running"
"vmicguestinterface","Stopped"
"vmicheartbeat","Stopped"
"vmickvpexchange","Stopped"
"vmicrdv","Stopped"
"vmicshutdown","Stopped"
"vmictimesync","Stopped"
"vmicvmsession","Stopped"
"vmicvss","Stopped"
"vmms","Running"
"VSS","Stopped"
"W32Time","Running"
"WaaSMedicSvc","Stopped"
"WalletService","Stopped"
"WarpJITSvc","Stopped"
"wbengine","Stopped"
"WbioSrvc","Stopped"
"Wcmsvc","Running"
"wcncsvc","Stopped"
"WdiServiceHost","Stopped"
"WdiSystemHost","Running"
"WdNisSvc","Running"
"WebClient","Running"
"webthreatdefsvc","Running"
"webthreatdefusersvc_124ad5f4","Running"
"Wecsvc","Stopped"
"WEPHOSTSVC","Stopped"
"wercplsupport","Stopped"
"WerSvc","Stopped"
"WFDSConMgrSvc","Stopped"
"whesvc","Running"
"WiaRpc","Stopped"
"WinDefend","Running"
"WinHttpAutoProxySvc","Running"
"Winmgmt","Running"
"WinRM","Stopped"
"wisvc","Stopped"
"WlanSvc","Running"
"wlidsvc","Stopped"
"wlpasvc","Stopped"
"WManSvc","Stopped"
"wmiApSrv","Stopped"
"WMIRegistrationService","Running"
"WMPNetworkSvc","Stopped"
"workfolderssvc","Stopped"
"WpcMonSvc","Stopped"
"WPDBusEnum","Stopped"
"WpnService","Running"
